연도,노선코드,노선명,본부코드,본부명,고발유형_1_과적,고발유형_2_적재불량,고발유형_3_제원초과,고발유형_4_기타
2007,0010,경부선,210310,서울영업소,458,789,56,0
2007,0010,경부선,210320,수원신갈영업소,90,0,4,0
2007,0010,경부선,210330,기흥영업소,54,188,13,0
2007,0010,경부선,210340,오산영업소,189,44,10,0
2007,0010,경부선,410110,안성영업소,203,110,10,0
2007,0010,경부선,410120,천안영업소,178,101,11,0
2007,0010,경부선,410130,목천영업소,158,10,16,0
2007,0010,경부선,410140,청주영업소,44,16,8,0
2007,0010,경부선,410220,남청주영업소,71,4,1,0
2007,0010,경부선,410230,신탄진영업소,116,86,8,0
2007,0010,경부선,410240,대전영업소,59,19,8,0
2007,0010,경부선,410510,금강영업소,16,0,1,0
2007,0010,경부선,410520,영동영업소,29,0,2,0
2007,0010,경부선,410530,황간영업소,16,0,0,0
2007,0010,경부선,410540,옥천영업소,69,11,9,0
2007,0010,경부선,610110,추풍령영업소,25,5,2,0
2007,0010,경부선,610120,김천영업소,65,119,4,0
2007,0010,경부선,610130,구미영업소,80,561,10,0
2007,0010,경부선,610140,남구미영업소,77,314,9,0
2007,0010,경부선,610150,왜관영업소,90,207,13,0
2007,0010,경부선,610200,대구지사,1,0,0,0
2007,0010,경부선,610210,북대구영업소,142,573,13,0
2007,0010,경부선,610240,경산영업소,227,286,23,0
2007,0010,경부선,610250,영천영업소,188,253,30,0
2007,0010,경부선,610260,건천영업소,93,121,32,0
2007,0010,경부선,610270,경주영업소,306,67,28,0
2007,0010,경부선,7109A0,부산영업소,544,108,10,0
2007,0010,경부선,7109B0,노포영업소,69,16,12,0
2007,0010,경부선,810350,덕유산영업소,0,3,0,0
2007,0102,남해선(순천부산),510310,순천영업소,175,65,38,0
2007,0102,남해선(순천부산),510350,서순천영업소,23,5,2,0
2007,0102,남해선(순천부산),510360,광양영업소,205,18,23,0
2007,0102,남해선(순천부산),510370,동광양영업소,83,2,16,0
2007,0102,남해선(순천부산),510380,옥곡영업소,51,7,3,0
2007,0102,남해선(순천부산),510390,진월영업소,277,13,9,0
2007,0102,남해선(순천부산),710310,산인영업소,103,47,5,0
2007,0102,남해선(순천부산),710320,마산영업소,76,35,34,0
2007,0102,남해선(순천부산),710340,동창원영업소,228,9,18,0
2007,0102,남해선(순천부산),710350,진례영업소,226,91,17,0
2007,0102,남해선(순천부산),710400,진주지사,0,1,0,0
2007,0102,남해선(순천부산),710410,곤양영업소,47,51,4,0
2007,0102,남해선(순천부산),710420,지수영업소,4,39,1,0
2007,0102,남해선(순천부산),710440,하동영업소,247,64,2,0
2007,0102,남해선(순천부산),710450,진교영업소,29,27,1,0
2007,0102,남해선(순천부산),710460,축동영업소,15,1,0,0
2007,0102,남해선(순천부산),710470,사천영업소,147,8,9,0
2007,0102,남해선(순천부산),710480,진주영업소,95,224,11,0
2007,0102,남해선(순천부산),710490,문산영업소,67,63,1,0
2007,0102,남해선(순천부산),7104A0,진성영업소,49,29,1,0
2007,0102,남해선(순천부산),7104B0,군북영업소,52,10,1,0
2007,0102,남해선(순천부산),7104C0,장지영업소,77,7,3,0
2007,0102,남해선(순천부산),7104D0,함안영업소,107,26,6,0
2007,0102,남해선(순천부산),710530,북부산영업소,645,64,30,0
2007,0102,남해선(순천부산),710570,동김해영업소,170,15,47,0
2007,0102,남해선(순천부산),710580,서김해영업소,166,3,8,0
2007,0122,광주대구선,510280,담양영업소,39,5,4,0
2007,0122,광주대구선,510410,남원영업소,36,52,6,0
2007,0122,광주대구선,510420,순창영업소,29,1,2,0
2007,0122,광주대구선,510430,지리산영업소,13,3,2,0
2007,0122,광주대구선,510440,동남원영업소,10,3,2,0
2007,0122,광주대구선,510560,무안공항영업소,4,1,0,0
2007,0122,광주대구선,510570,동함평영업소,5,0,0,0
2007,0122,광주대구선,510580,문평영업소,5,0,1,0
2007,0122,광주대구선,510590,나주영업소,8,0,1,0
2007,0122,광주대구선,610310,해인사영업소,5,2,0,0
2007,0122,광주대구선,610320,함양영업소,67,14,2,0
2007,0122,광주대구선,610340,고령영업소,37,22,5,0
2007,0122,광주대구선,610350,가조영업소,10,2,0,0
2007,0122,광주대구선,610360,거창영업소,61,2,2,0
2007,0122,광주대구선,610370,동고령영업소,47,0,10,0
2007,0150,서해안선,210710,매송영업소,422,0,35,0
2007,0150,서해안선,210720,비봉영업소,275,0,107,0
2007,0150,서해안선,210730,발안영업소,165,0,65,0
2007,0150,서해안선,210740,서평택영업소,273,0,60,0
2007,0150,서해안선,210770,청북영업소,1,0,0,0
2007,0150,서해안선,210830,서서울영업소,613,512,40,0
2007,0150,서해안선,410710,송악영업소,789,113,9,0
2007,0150,서해안선,410720,당진영업소,140,398,11,0
2007,0150,서해안선,410740,서산영업소,92,32,5,0
2007,0150,서해안선,410750,해미영업소,80,18,1,0
2007,0150,서해안선,410760,홍성영업소,78,3,2,0
2007,0150,서해안선,510510,목포영업소,214,982,34,0
2007,0150,서해안선,510520,일로영업소,0,3,0,0
2007,0150,서해안선,510530,영광영업소,23,2,1,0
2007,0150,서해안선,510540,함평영업소,70,19,0,0
2007,0150,서해안선,510550,무안영업소,99,78,4,0
2007,0150,서해안선,510560,무안공항영업소,0,0,1,0
